Country,Baseline (2000),Sustainability (2050),Sustainability (2100),Fragmented World (2050),Fragmented World (2100),Fossil Fuel Based Development (2050),Fossil Fuel Based Development (2100)
Belgium,0,2,6,1,6,2,18
Bulgaria,1,1,2,1,3,1,2
Cyprus,3,14,14,15,23,16,17
Germany,1,8,22,7,30,10,77
Denmark,1,7,65,6,78,9,225
Estonia,0,0,0,0,0,0,1
Spain,7,65,169,61,122,94,322
Finland,0,1,3,1,13,2,36
France,3,32,140,35,154,50,377
Greece,10,50,79,54,79,64,139
Croatia,12,32,40,42,112,38,54
Ireland,3,27,102,27,81,41,230
Italy,13,84,197,77,141,119,375
Lithuania,1,3,4,3,11,3,6
Latvia,0,0,0,0,1,0,1
Malta,0,0,0,0,0,0,0
Netherlands,0,0,1,0,1,0,2
Norway,2,18,157,26,154,43,465
Poland,10,18,23,15,18,20,46
Portugal,3,7,14,6,10,10,29
Romania,0,1,1,1,5,1,2
Sweden,0,2,27,3,34,4,100
Slovenia,2,5,6,4,3,5,10
UK,28,163,458,147,438,208,1118
Europe,102,540,1532,533,1519,742,3650